occupation,industry,year,employment
Plant & Machine Operators & Assemblers,Transportation & Storage,2019,91.2
Plant & Machine Operators & Assemblers,Accommodation & Food Services,2019,2
Plant & Machine Operators & Assemblers,Information & Communications,2019,0.7
Plant & Machine Operators & Assemblers,Financial & Insurance Services,2019,3.7
Plant & Machine Operators & Assemblers,Real Estate Services,2019,0.3
Plant & Machine Operators & Assemblers,Professional Services,2019,2.1
Plant & Machine Operators & Assemblers,Administrative & Support Services,2019,2.6
Plant & Machine Operators & Assemblers,Public Administration & Education Services,2019,0.5
Plant & Machine Operators & Assemblers,Health & Social Services,2019,1.5
Plant & Machine Operators & Assemblers,"Arts, Entertainment & Recreation",2019,0.3
Plant & Machine Operators & Assemblers,"Other Community, Social & Personal Services",2019,3.5
Plant & Machine Operators & Assemblers,Other Industries Nes,2019,1.4
"Cleaners, Labourers & Related Workers",All Industries,2019,149.4
"Cleaners, Labourers & Related Workers",Manufacturing,2019,8.1
"Cleaners, Labourers & Related Workers",Construction,2019,5.9
"Cleaners, Labourers & Related Workers",Services,2019,133.4
"Cleaners, Labourers & Related Workers",Wholesale & Retail Trade,2019,13.8
"Cleaners, Labourers & Related Workers",Transportation & Storage,2019,11.3
"Cleaners, Labourers & Related Workers",Accommodation & Food Services,2019,41.5
"Cleaners, Labourers & Related Workers",Information & Communications,2019,1.1
"Cleaners, Labourers & Related Workers",Financial & Insurance Services,2019,2.4
"Cleaners, Labourers & Related Workers",Real Estate Services,2019,3.5
"Cleaners, Labourers & Related Workers",Professional Services,2019,2.5
"Cleaners, Labourers & Related Workers",Administrative & Support Services,2019,34.5
"Cleaners, Labourers & Related Workers",Public Administration & Education Services,2019,6.9
"Cleaners, Labourers & Related Workers",Health & Social Services,2019,9.4
"Cleaners, Labourers & Related Workers","Arts, Entertainment & Recreation",2019,1.4
"Cleaners, Labourers & Related Workers","Other Community, Social & Personal Services",2019,5
"Cleaners, Labourers & Related Workers",Other Industries Nes,2019,2
"Cleaners, Labourers & Related Workers",Other Occupation Groups Nes,2019,64.8
"Cleaners, Labourers & Related Workers",Manufacturing,2019,0
"Cleaners, Labourers & Related Workers",Construction,2019,0.1
"Cleaners, Labourers & Related Workers",Services,2019,63.7
"Cleaners, Labourers & Related Workers",Wholesale & Retail Trade,2019,0.4
"Cleaners, Labourers & Related Workers",Transportation & Storage,2019,0
"Cleaners, Labourers & Related Workers",Accommodation & Food Services,2019,0.1
"Cleaners, Labourers & Related Workers",Information & Communications,2019,0
"Cleaners, Labourers & Related Workers",Financial & Insurance Services,2019,0.1
"Cleaners, Labourers & Related Workers",Real Estate Services,2019,0
"Cleaners, Labourers & Related Workers",Professional Services,2019,0.1
"Cleaners, Labourers & Related Workers",Administrative & Support Services,2019,1.1
"Cleaners, Labourers & Related Workers",Public Administration & Education Services,2019,61.7
"Cleaners, Labourers & Related Workers",Health & Social Services,2019,0.1
"Cleaners, Labourers & Related Workers","Arts, Entertainment & Recreation",2019,0.3
"Cleaners, Labourers & Related Workers","Other Community, Social & Personal Services",2019,0
"Cleaners, Labourers & Related Workers",Other Industries Nes,2019,0.9
"All Occupation Groups, (Total Employed Residents)",All Industries,2018,2203.7
"All Occupation Groups, (Total Employed Residents)",Manufacturing,2018,227.8
"All Occupation Groups, (Total Employed Residents)",Construction,2018,104.4
"All Occupation Groups, (Total Employed Residents)",Services,2018,1849.9
"All Occupation Groups, (Total Employed Residents)",Wholesale & Retail Trade,2018,352.5
"All Occupation Groups, (Total Employed Residents)",Transportation & Storage,2018,199
"All Occupation Groups, (Total Employed Residents)",Accommodation & Food Services,2018,134.4
"All Occupation Groups, (Total Employed Residents)",Information & Communications,2018,94.1
"All Occupation Groups, (Total Employed Residents)",Financial & Insurance Services,2018,196
"All Occupation Groups, (Total Employed Residents)",Real Estate Services,2018,54
"All Occupation Groups, (Total Employed Residents)",Professional Services,2018,174.4
"All Occupation Groups, (Total Employed Residents)",Administrative & Support Services,2018,117.9
"All Occupation Groups, (Total Employed Residents)",Public Administration & Education Services,2018,296.9
"All Occupation Groups, (Total Employed Residents)",Health & Social Services,2018,126
"All Occupation Groups, (Total Employed Residents)","Arts, Entertainment & Recreation",2018,37.7
"All Occupation Groups, (Total Employed Residents)","Other Community, Social & Personal Services",2018,67.1
"All Occupation Groups, (Total Employed Residents)",Other Industries Nes,2018,21.6
Managers & Administrators (Including Working Proprietors),All Industries,2018,341.6
Managers & Administrators (Including Working Proprietors),Manufacturing,2018,38.4
Managers & Administrators (Including Working Proprietors),Construction,2018,23.6
Managers & Administrators (Including Working Proprietors),Services,2018,277.6
Managers & Administrators (Including Working Proprietors),Wholesale & Retail Trade,2018,84.8
Managers & Administrators (Including Working Proprietors),Transportation & Storage,2018,18.2
Managers & Administrators (Including Working Proprietors),Accommodation & Food Services,2018,10.3
Managers & Administrators (Including Working Proprietors),Information & Communications,2018,24.7
Managers & Administrators (Including Working Proprietors),Financial & Insurance Services,2018,44.3
Managers & Administrators (Including Working Proprietors),Real Estate Services,2018,7.4
Managers & Administrators (Including Working Proprietors),Professional Services,2018,34.7
Managers & Administrators (Including Working Proprietors),Administrative & Support Services,2018,10.5
Managers & Administrators (Including Working Proprietors),Public Administration & Education Services,2018,24
Managers & Administrators (Including Working Proprietors),Health & Social Services,2018,6.9
Managers & Administrators (Including Working Proprietors),"Arts, Entertainment & Recreation",2018,5.1
Managers & Administrators (Including Working Proprietors),"Other Community, Social & Personal Services",2018,6.7
Managers & Administrators (Including Working Proprietors),Other Industries Nes,2018,2
Professionals,All Industries,2018,449.2
Professionals,Manufacturing,2018,46.9
Professionals,Construction,2018,13.3
Professionals,Services,2018,384.5
Professionals,Wholesale & Retail Trade,2018,40.1
Professionals,Transportation & Storage,2018,13.7
Professionals,Accommodation & Food Services,2018,1.7
Professionals,Information & Communications,2018,36.4
Professionals,Financial & Insurance Services,2018,64.8
Professionals,Real Estate Services,2018,4.3
Professionals,Professional Services,2018,62.7
Professionals,Administrative & Support Services,2018,8.3
Professionals,Public Administration & Education Services,2018,90
Professionals,Health & Social Services,2018,50.7
Professionals,"Arts, Entertainment & Recreation",2018,3.4
Professionals,"Other Community, Social & Personal Services",2018,8.2
Professionals,Other Industries Nes,2018,4.5
Associate Professionals & Technicians,All Industries,2018,465
Associate Professionals & Technicians,Manufacturing,2018,59.6
Associate Professionals & Technicians,Construction,2018,20
Associate Professionals & Technicians,Services,2018,378.9
Associate Professionals & Technicians,Wholesale & Retail Trade,2018,62.5
Associate Professionals & Technicians,Transportation & Storage,2018,30.9
Associate Professionals & Technicians,Accommodation & Food Services,2018,13.6
Associate Professionals & Technicians,Information & Communications,2018,19.7
Associate Professionals & Technicians,Financial & Insurance Services,2018,46.1
Associate Professionals & Technicians,Real Estate Services,2018,27.1
Associate Professionals & Technicians,Professional Services,2018,43.4
Associate Professionals & Technicians,Administrative & Support Services,2018,12.9
Associate Professionals & Technicians,Public Administration & Education Services,2018,72.7
Associate Professionals & Technicians,Health & Social Services,2018,28.8
Associate Professionals & Technicians,"Arts, Entertainment & Recreation",2018,9.6
Associate Professionals & Technicians,"Other Community, Social & Personal Services",2018,11.5
Associate Professionals & Technicians,Other Industries Nes,2018,6.5
Clerical Support Workers,All Industries,2018,241
Clerical Support Workers,Manufacturing,2018,23.7
Clerical Support Workers,Construction,2018,13.8
Clerical Support Workers,Services,2018,201.8
Clerical Support Workers,Wholesale & Retail Trade,2018,42.1
Clerical Support Workers,Transportation & Storage,2018,27.8
Clerical Support Workers,Accommodation & Food Services,2018,9
Clerical Support Workers,Information & Communications,2018,9.5
Clerical Support Workers,Financial & Insurance Services,2018,28.5
Clerical Support Workers,Real Estate Services,2018,5.7
Clerical Support Workers,Professional Services,2018,21.6
Clerical Support Workers,Administrative & Support Services,2018,11.2
Clerical Support Workers,Public Administration & Education Services,2018,19.1
Clerical Support Workers,Health & Social Services,2018,14.7
Clerical Support Workers,"Arts, Entertainment & Recreation",2018,4.9
Clerical Support Workers,"Other Community, Social & Personal Services",2018,7.7
Clerical Support Workers,Other Industries Nes,2018,1.7
Service & Sales Workers,All Industries,2018,262.7
Service & Sales Workers,Manufacturing,2018,5.6
Service & Sales Workers,Construction,2018,1.3
Service & Sales Workers,Services,2018,255.6
Service & Sales Workers,Wholesale & Retail Trade,2018,82.7
Service & Sales Workers,Transportation & Storage,2018,10.8
Service & Sales Workers,Accommodation & Food Services,2018,56.5
Service & Sales Workers,Information & Communications,2018,1.6
Service & Sales Workers,Financial & Insurance Services,2018,5.3
Service & Sales Workers,Real Estate Services,2018,1.7
Service & Sales Workers,Professional Services,2018,3.2
Service & Sales Workers,Administrative & Support Services,2018,29.6
Service & Sales Workers,Public Administration & Education Services,2018,18.5
Service & Sales Workers,Health & Social Services,2018,14.7
Service & Sales Workers,"Arts, Entertainment & Recreation",2018,11.5
Service & Sales Workers,"Other Community, Social & Personal Services",2018,19.4
Service & Sales Workers,Other Industries Nes,2018,0.2
Craftsmen & Related Trades Workers,All Industries,2018,70
Craftsmen & Related Trades Workers,Manufacturing,2018,21.9
Craftsmen & Related Trades Workers,Construction,2018,18.6
Craftsmen & Related Trades Workers,Services,2018,28.4
Craftsmen & Related Trades Workers,Wholesale & Retail Trade,2018,7.5
Craftsmen & Related Trades Workers,Transportation & Storage,2018,2.4
Craftsmen & Related Trades Workers,Accommodation & Food Services,2018,2.2
Craftsmen & Related Trades Workers,Information & Communications,2018,0.6
Craftsmen & Related Trades Workers,Financial & Insurance Services,2018,1.2
Craftsmen & Related Trades Workers,Real Estate Services,2018,1.6
Craftsmen & Related Trades Workers,Professional Services,2018,3
Craftsmen & Related Trades Workers,Administrative & Support Services,2018,2.9
Craftsmen & Related Trades Workers,Public Administration & Education Services,2018,0.9
Craftsmen & Related Trades Workers,Health & Social Services,2018,0.3
Craftsmen & Related Trades Workers,"Arts, Entertainment & Recreation",2018,0.3
Craftsmen & Related Trades Workers,"Other Community, Social & Personal Services",2018,5.5
Craftsmen & Related Trades Workers,Other Industries Nes,2018,1.1
Plant & Machine Operators & Assemblers,All Industries,2018,147.9
Plant & Machine Operators & Assemblers,Manufacturing,2018,22.1
Plant & Machine Operators & Assemblers,Construction,2018,7.5
Plant & Machine Operators & Assemblers,Services,2018,117.1
Plant & Machine Operators & Assemblers,Wholesale & Retail Trade,2018,16.7
Plant & Machine Operators & Assemblers,Transportation & Storage,2018,82.9
Plant & Machine Operators & Assemblers,Accommodation & Food Services,2018,2.5
Plant & Machine Operators & Assemblers,Information & Communications,2018,0.6
Plant & Machine Operators & Assemblers,Financial & Insurance Services,2018,2.6
Plant & Machine Operators & Assemblers,Real Estate Services,2018,0.4
Plant & Machine Operators & Assemblers,Professional Services,2018,3.3
Plant & Machine Operators & Assemblers,Administrative & Support Services,2018,2.9
Plant & Machine Operators & Assemblers,Public Administration & Education Services,2018,0.5
Plant & Machine Operators & Assemblers,Health & Social Services,2018,1.3
Plant & Machine Operators & Assemblers,"Arts, Entertainment & Recreation",2018,0.2
Plant & Machine Operators & Assemblers,"Other Community, Social & Personal Services",2018,3.2
Plant & Machine Operators & Assemblers,Other Industries Nes,2018,1.2
"Cleaners, Labourers & Related Workers",All Industries,2018,156.4
"Cleaners, Labourers & Related Workers",Manufacturing,2018,9.5
"Cleaners, Labourers & Related Workers",Construction,2018,6.1
"Cleaners, Labourers & Related Workers",Services,2018,137.8
"Cleaners, Labourers & Related Workers",Wholesale & Retail Trade,2018,15.8
"Cleaners, Labourers & Related Workers",Transportation & Storage,2018,12.2
"Cleaners, Labourers & Related Workers",Accommodation & Food Services,2018,38.6
"Cleaners, Labourers & Related Workers",Information & Communications,2018,0.8
"Cleaners, Labourers & Related Workers",Financial & Insurance Services,2018,3.2
"Cleaners, Labourers & Related Workers",Real Estate Services,2018,5.8
"Cleaners, Labourers & Related Workers",Professional Services,2018,2.5
"Cleaners, Labourers & Related Workers",Administrative & Support Services,2018,37.9
"Cleaners, Labourers & Related Workers",Public Administration & Education Services,2018,5.2
"Cleaners, Labourers & Related Workers",Health & Social Services,2018,8.5
"Cleaners, Labourers & Related Workers","Arts, Entertainment & Recreation",2018,2.5
"Cleaners, Labourers & Related Workers","Other Community, Social & Personal Services",2018,4.8
"Cleaners, Labourers & Related Workers",Other Industries Nes,2018,3
"Cleaners, Labourers & Related Workers",Other Occupation Groups Nes,2018,69.8
"Cleaners, Labourers & Related Workers",Manufacturing,2018,0.1
"Cleaners, Labourers & Related Workers",Construction,2018,0.2
"Cleaners, Labourers & Related Workers",Services,2018,68.4
"Cleaners, Labourers & Related Workers",Wholesale & Retail Trade,2018,0.3
"Cleaners, Labourers & Related Workers",Transportation & Storage,2018,0
"Cleaners, Labourers & Related Workers",Accommodation & Food Services,2018,0
"Cleaners, Labourers & Related Workers",Information & Communications,2018,0.1
"Cleaners, Labourers & Related Workers",Financial & Insurance Services,2018,0.1
"Cleaners, Labourers & Related Workers",Real Estate Services,2018,0
"Cleaners, Labourers & Related Workers",Professional Services,2018,0
"Cleaners, Labourers & Related Workers",Administrative & Support Services,2018,1.6
"Cleaners, Labourers & Related Workers",Public Administration & Education Services,2018,66.1
"Cleaners, Labourers & Related Workers",Health & Social Services,2018,0.2
"Cleaners, Labourers & Related Workers","Arts, Entertainment & Recreation",2018,0
"Cleaners, Labourers & Related Workers","Other Community, Social & Personal Services",2018,0.1
"Cleaners, Labourers & Related Workers",Other Industries Nes,2018,1.2
"All Occupation Groups, (Total Employed Residents)",All Industries,2017,2175.3
"All Occupation Groups, (Total Employed Residents)",Manufacturing,2017,223.4
"All Occupation Groups, (Total Employed Residents)",Construction,2017,100.7
"All Occupation Groups, (Total Employed Residents)",Services,2017,1829.4
"All Occupation Groups, (Total Employed Residents)",Wholesale & Retail Trade,2017,356.2
"All Occupation Groups, (Total Employed Residents)",Transportation & Storage,2017,195.9
"All Occupation Groups, (Total Employed Residents)",Accommodation & Food Services,2017,134.4
"All Occupation Groups, (Total Employed Residents)",Information & Communications,2017,91.3
"All Occupation Groups, (Total Employed Residents)",Financial & Insurance Services,2017,189.6
"All Occupation Groups, (Total Employed Residents)",Real Estate Services,2017,57.6
"All Occupation Groups, (Total Employed Residents)",Professional Services,2017,170.8
"All Occupation Groups, (Total Employed Residents)",Administrative & Support Services,2017,114.7
"All Occupation Groups, (Total Employed Residents)",Public Administration & Education Services,2017,293.7
"All Occupation Groups, (Total Employed Residents)",Health & Social Services,2017,124.8
"All Occupation Groups, (Total Employed Residents)","Arts, Entertainment & Recreation",2017,35.2
"All Occupation Groups, (Total Employed Residents)","Other Community, Social & Personal Services",2017,65.5
"All Occupation Groups, (Total Employed Residents)",Other Industries Nes,2017,21.7
Managers & Administrators (Including Working Proprietors),All Industries,2017,348.8
Managers & Administrators (Including Working Proprietors),Manufacturing,2017,42.7
Managers & Administrators (Including Working Proprietors),Construction,2017,23.8
Managers & Administrators (Including Working Proprietors),Services,2017,279.4
Managers & Administrators (Including Working Proprietors),Wholesale & Retail Trade,2017,89.8
Managers & Administrators (Including Working Proprietors),Transportation & Storage,2017,17.2
Managers & Administrators (Including Working Proprietors),Accommodation & Food Services,2017,12.7
Managers & Administrators (Including Working Proprietors),Information & Communications,2017,24.8
Managers & Administrators (Including Working Proprietors),Financial & Insurance Services,2017,39.6
Managers & Administrators (Including Working Proprietors),Real Estate Services,2017,7.1
Managers & Administrators (Including Working Proprietors),Professional Services,2017,35.8
Managers & Administrators (Including Working Proprietors),Administrative & Support Services,2017,10.3
Managers & Administrators (Including Working Proprietors),Public Administration & Education Services,2017,23.3
Managers & Administrators (Including Working Proprietors),Health & Social Services,2017,7.5
Managers & Administrators (Including Working Proprietors),"Arts, Entertainment & Recreation",2017,3.5
Managers & Administrators (Including Working Proprietors),"Other Community, Social & Personal Services",2017,7.9
Managers & Administrators (Including Working Proprietors),Other Industries Nes,2017,2.8
Professionals,All Industries,2017,437.6
Professionals,Manufacturing,2017,41.8
Professionals,Construction,2017,11.8
Professionals,Services,2017,379.4
Professionals,Wholesale & Retail Trade,2017,39.4
Professionals,Transportation & Storage,2017,12.8
Professionals,Accommodation & Food Services,2017,1.9
Professionals,Information & Communications,2017,33.3
Professionals,Financial & Insurance Services,2017,69.2
Professionals,Real Estate Services,2017,4.7
Professionals,Professional Services,2017,62.7
Professionals,Administrative & Support Services,2017,7.3
Professionals,Public Administration & Education Services,2017,90.5
Professionals,Health & Social Services,2017,47.7
Professionals,"Arts, Entertainment & Recreation",2017,3.5
Professionals,"Other Community, Social & Personal Services",2017,6.4
Professionals,Other Industries Nes,2017,4.7
Associate Professionals & Technicians,All Industries,2017,436.2
Associate Professionals & Technicians,Manufacturing,2017,53.9
Associate Professionals & Technicians,Construction,2017,17
Associate Professionals & Technicians,Services,2017,359.3
Associate Professionals & Technicians,Wholesale & Retail Trade,2017,62.3
Associate Professionals & Technicians,Transportation & Storage,2017,27.7
Associate Professionals & Technicians,Accommodation & Food Services,2017,9.7
Associate Professionals & Technicians,Information & Communications,2017,20.6
Associate Professionals & Technicians,Financial & Insurance Services,2017,44.1
Associate Professionals & Technicians,Real Estate Services,2017,26.7
Associate Professionals & Technicians,Professional Services,2017,38.1
Associate Professionals & Technicians,Administrative & Support Services,2017,13.2
Associate Professionals & Technicians,Public Administration & Education Services,2017,69.3
Associate Professionals & Technicians,Health & Social Services,2017,26.6
Associate Professionals & Technicians,"Arts, Entertainment & Recreation",2017,11
Associate Professionals & Technicians,"Other Community, Social & Personal Services",2017,10.2
Associate Professionals & Technicians,Other Industries Nes,2017,5.9
Clerical Support Workers,All Industries,2017,247.9
Clerical Support Workers,Manufacturing,2017,24.6
Clerical Support Workers,Construction,2017,14.3
Clerical Support Workers,Services,2017,206.9
Clerical Support Workers,Wholesale & Retail Trade,2017,47.2
Clerical Support Workers,Transportation & Storage,2017,25.3
Clerical Support Workers,Accommodation & Food Services,2017,7.9
Clerical Support Workers,Information & Communications,2017,8.3
Clerical Support Workers,Financial & Insurance Services,2017,27.4
Clerical Support Workers,Real Estate Services,2017,7.1
Clerical Support Workers,Professional Services,2017,23.2
Clerical Support Workers,Administrative & Support Services,2017,11.7
Clerical Support Workers,Public Administration & Education Services,2017,19.3
Clerical Support Workers,Health & Social Services,2017,16.5
Clerical Support Workers,"Arts, Entertainment & Recreation",2017,4.2
Clerical Support Workers,"Other Community, Social & Personal Services",2017,8.8
Clerical Support Workers,Other Industries Nes,2017,2.1
Service & Sales Workers,All Industries,2017,248
Service & Sales Workers,Manufacturing,2017,6.2
Service & Sales Workers,Construction,2017,1
Service & Sales Workers,Services,2017,240.4
Service & Sales Workers,Wholesale & Retail Trade,2017,75.1
Service & Sales Workers,Transportation & Storage,2017,11.2
Service & Sales Workers,Accommodation & Food Services,2017,57.2
Service & Sales Workers,Information & Communications,2017,1.8
Service & Sales Workers,Financial & Insurance Services,2017,2.9
Service & Sales Workers,Real Estate Services,2017,2.5
Service & Sales Workers,Professional Services,2017,2.7
Service & Sales Workers,Administrative & Support Services,2017,25.8
Service & Sales Workers,Public Administration & Education Services,2017,18.3
Service & Sales Workers,Health & Social Services,2017,16.1
Service & Sales Workers,"Arts, Entertainment & Recreation",2017,9.6
Service & Sales Workers,"Other Community, Social & Personal Services",2017,17.2
Service & Sales Workers,Other Industries Nes,2017,0.3
Craftsmen & Related Trades Workers,All Industries,2017,76
Craftsmen & Related Trades Workers,Manufacturing,2017,23.4
Craftsmen & Related Trades Workers,Construction,2017,18.9
Craftsmen & Related Trades Workers,Services,2017,32.4
Craftsmen & Related Trades Workers,Wholesale & Retail Trade,2017,9.6
Craftsmen & Related Trades Workers,Transportation & Storage,2017,3.1
Craftsmen & Related Trades Workers,Accommodation & Food Services,2017,2.1
Craftsmen & Related Trades Workers,Information & Communications,2017,1.1
Craftsmen & Related Trades Workers,Financial & Insurance Services,2017,1.2
Craftsmen & Related Trades Workers,Real Estate Services,2017,1.8
Craftsmen & Related Trades Workers,Professional Services,2017,2.8
Craftsmen & Related Trades Workers,Administrative & Support Services,2017,2.5
Craftsmen & Related Trades Workers,Public Administration & Education Services,2017,0.7
Craftsmen & Related Trades Workers,Health & Social Services,2017,0.2
Craftsmen & Related Trades Workers,"Arts, Entertainment & Recreation",2017,0.6
Craftsmen & Related Trades Workers,"Other Community, Social & Personal Services",2017,6.8
Craftsmen & Related Trades Workers,Other Industries Nes,2017,1.2
Plant & Machine Operators & Assemblers,All Industries,2017,151.5
Plant & Machine Operators & Assemblers,Manufacturing,2017,21.4
Plant & Machine Operators & Assemblers,Construction,2017,7.6
Plant & Machine Operators & Assemblers,Services,2017,121.3
Plant & Machine Operators & Assemblers,Wholesale & Retail Trade,2017,17.3
Plant & Machine Operators & Assemblers,Transportation & Storage,2017,87.8
Plant & Machine Operators & Assemblers,Accommodation & Food Services,2017,2.4
Plant & Machine Operators & Assemblers,Information & Communications,2017,0.6
Plant & Machine Operators & Assemblers,Financial & Insurance Services,2017,2.1
Plant & Machine Operators & Assemblers,Real Estate Services,2017,0.5
Plant & Machine Operators & Assemblers,Professional Services,2017,2.5
Plant & Machine Operators & Assemblers,Administrative & Support Services,2017,3.6
Plant & Machine Operators & Assemblers,Public Administration & Education Services,2017,0.5
Plant & Machine Operators & Assemblers,Health & Social Services,2017,1.2
Plant & Machine Operators & Assemblers,"Arts, Entertainment & Recreation",2017,0.4
Plant & Machine Operators & Assemblers,"Other Community, Social & Personal Services",2017,2.4
Plant & Machine Operators & Assemblers,Other Industries Nes,2017,1.1
"Cleaners, Labourers & Related Workers",All Industries,2017,160.5
"Cleaners, Labourers & Related Workers",Manufacturing,2017,9.2
"Cleaners, Labourers & Related Workers",Construction,2017,6.2
"Cleaners, Labourers & Related Workers",Services,2017,142.2
"Cleaners, Labourers & Related Workers",Wholesale & Retail Trade,2017,15.2
"Cleaners, Labourers & Related Workers",Transportation & Storage,2017,10.9
"Cleaners, Labourers & Related Workers",Accommodation & Food Services,2017,40.3
"Cleaners, Labourers & Related Workers",Information & Communications,2017,0.8
"Cleaners, Labourers & Related Workers",Financial & Insurance Services,2017,3
"Cleaners, Labourers & Related Workers",Real Estate Services,2017,7.1
"Cleaners, Labourers & Related Workers",Professional Services,2017,2.9
"Cleaners, Labourers & Related Workers",Administrative & Support Services,2017,39.2
"Cleaners, Labourers & Related Workers",Public Administration & Education Services,2017,5.8
"Cleaners, Labourers & Related Workers",Health & Social Services,2017,8.9
"Cleaners, Labourers & Related Workers","Arts, Entertainment & Recreation",2017,2.4
"Cleaners, Labourers & Related Workers","Other Community, Social & Personal Services",2017,5.6
"Cleaners, Labourers & Related Workers",Other Industries Nes,2017,3
"Cleaners, Labourers & Related Workers",Other Occupation Groups Nes,2017,68.9
"Cleaners, Labourers & Related Workers",Manufacturing,2017,0.1
"Cleaners, Labourers & Related Workers",Construction,2017,0.2
"Cleaners, Labourers & Related Workers",Services,2017,68.1
"Cleaners, Labourers & Related Workers",Wholesale & Retail Trade,2017,0.3
"Cleaners, Labourers & Related Workers",Transportation & Storage,2017,0
"Cleaners, Labourers & Related Workers",Accommodation & Food Services,2017,0.1
"Cleaners, Labourers & Related Workers",Information & Communications,2017,0
"Cleaners, Labourers & Related Workers",Financial & Insurance Services,2017,0
"Cleaners, Labourers & Related Workers",Real Estate Services,2017,0.1
"Cleaners, Labourers & Related Workers",Professional Services,2017,0
"Cleaners, Labourers & Related Workers",Administrative & Support Services,2017,1.1
"Cleaners, Labourers & Related Workers",Public Administration & Education Services,2017,65.9
"Cleaners, Labourers & Related Workers",Health & Social Services,2017,0.3
"Cleaners, Labourers & Related Workers","Arts, Entertainment & Recreation",2017,0.2
"Cleaners, Labourers & Related Workers","Other Community, Social & Personal Services",2017,0.2
"Cleaners, Labourers & Related Workers",Other Industries Nes,2017,0.6
"All Occupation Groups, (Total Employed Residents)",All Industries,2016,2165.3
"All Occupation Groups, (Total Employed Residents)",Manufacturing,2016,227.2
"All Occupation Groups, (Total Employed Residents)",Construction,2016,101.2
"All Occupation Groups, (Total Employed Residents)",Services,2016,1816.9
"All Occupation Groups, (Total Employed Residents)",Wholesale & Retail Trade,2016,364.1
"All Occupation Groups, (Total Employed Residents)",Transportation & Storage,2016,188.4
"All Occupation Groups, (Total Employed Residents)",Accommodation & Food Services,2016,138.2
"All Occupation Groups, (Total Employed Residents)",Information & Communications,2016,87
"All Occupation Groups, (Total Employed Residents)",Financial & Insurance Services,2016,190.7
"All Occupation Groups, (Total Employed Residents)",Real Estate Services,2016,53.5
"All Occupation Groups, (Total Employed Residents)",Professional Services,2016,163
"All Occupation Groups, (Total Employed Residents)",Administrative & Support Services,2016,115.9
"All Occupation Groups, (Total Employed Residents)",Public Administration & Education Services,2016,294.9
"All Occupation Groups, (Total Employed Residents)",Health & Social Services,2016,115.9
"All Occupation Groups, (Total Employed Residents)","Arts, Entertainment & Recreation",2016,40.4
"All Occupation Groups, (Total Employed Residents)","Other Community, Social & Personal Services",2016,64.9
"All Occupation Groups, (Total Employed Residents)",Other Industries Nes,2016,20
Managers & Administrators (Including Working Proprietors),All Industries,2016,337.5
Managers & Administrators (Including Working Proprietors),Manufacturing,2016,39.3
Managers & Administrators (Including Working Proprietors),Construction,2016,25
Managers & Administrators (Including Working Proprietors),Services,2016,270.4
Managers & Administrators (Including Working Proprietors),Wholesale & Retail Trade,2016,82.4
Managers & Administrators (Including Working Proprietors),Transportation & Storage,2016,16.9
Managers & Administrators (Including Working Proprietors),Accommodation & Food Services,2016,11.6
Managers & Administrators (Including Working Proprietors),Information & Communications,2016,22.2
Managers & Administrators (Including Working Proprietors),Financial & Insurance Services,2016,41.8
Managers & Administrators (Including Working Proprietors),Real Estate Services,2016,7.6
Managers & Administrators (Including Working Proprietors),Professional Services,2016,32.1
Managers & Administrators (Including Working Proprietors),Administrative & Support Services,2016,11.9
Managers & Administrators (Including Working Proprietors),Public Administration & Education Services,2016,25.4
Managers & Administrators (Including Working Proprietors),Health & Social Services,2016,6.9
Managers & Administrators (Including Working Proprietors),"Arts, Entertainment & Recreation",2016,4
Managers & Administrators (Including Working Proprietors),"Other Community, Social & Personal Services",2016,7.7
Managers & Administrators (Including Working Proprietors),Other Industries Nes,2016,2.7
Professionals,All Industries,2016,419.8
Professionals,Manufacturing,2016,47.7
Professionals,Construction,2016,9.8
Professionals,Services,2016,358.3
Professionals,Wholesale & Retail Trade,2016,38.5
Professionals,Transportation & Storage,2016,12.1
Professionals,Accommodation & Food Services,2016,1.6
Professionals,Information & Communications,2016,30.5
Professionals,Financial & Insurance Services,2016,62.8
Professionals,Real Estate Services,2016,3.1
Professionals,Professional Services,2016,58.1
Professionals,Administrative & Support Services,2016,7.3
Professionals,Public Administration & Education Services,2016,87.1
Professionals,Health & Social Services,2016,45.7
Professionals,"Arts, Entertainment & Recreation",2016,5
Professionals,"Other Community, Social & Personal Services",2016,6.4
Professionals,Other Industries Nes,2016,4
Associate Professionals & Technicians,All Industries,2016,438.1
Associate Professionals & Technicians,Manufacturing,2016,56.5
Associate Professionals & Technicians,Construction,2016,16.7
Associate Professionals & Technicians,Services,2016,359.8
Associate Professionals & Technicians,Wholesale & Retail Trade,2016,63.6
Associate Professionals & Technicians,Transportation & Storage,2016,29.3
Associate Professionals & Technicians,Accommodation & Food Services,2016,10.4
Associate Professionals & Technicians,Information & Communications,2016,18.8
Associate Professionals & Technicians,Financial & Insurance Services,2016,46.5
Associate Professionals & Technicians,Real Estate Services,2016,23.3
Associate Professionals & Technicians,Professional Services,2016,40
Associate Professionals & Technicians,Administrative & Support Services,2016,15.5
Associate Professionals & Technicians,Public Administration & Education Services,2016,67.4
Associate Professionals & Technicians,Health & Social Services,2016,24.5
Associate Professionals & Technicians,"Arts, Entertainment & Recreation",2016,9.9
Associate Professionals & Technicians,"Other Community, Social & Personal Services",2016,10.6
