Age Group,Year,Unemployment
25 & Over,2022,2.7
25 - 29,2022,3.9
30 - 39,2022,2.3
40 - 49,2022,2.6
50 & Over,2022,2.8
50 - 59,2022,2.8
60 & Over,2022,2.8
Below 30,2022,4.7
Total,2022,2.9
15 - 24,2023,6.8
25 & Over,2023,2.5
25 - 29,2023,4.3
30 - 39,2023,2.1
40 - 49,2023,2.3
50 & Over,2023,2.4
50 - 59,2023,2.5
60 & Over,2023,2.2
Below 30,2023,5.3
Total,2023,2.7
15 - 24,2024,7.0
25 & Over,2024,2.5
25 - 29,2024,4.7
30 - 39,2024,2.1
40 - 49,2024,2.2
50 & Over,2024,2.5
50 - 59,2024,2.7
60 & Over,2024,2.2
Below 30,2024,5.6
Total,2024,2.8
